player,comp,season,Progressive Passes,Key passes,Pass completion %,Shot creating actions p 90,1/3,Matches Played,Avg Mins per Match
Steven Defour,Premier League,2017-18,117.0,19.0,81.5,2.03,89.0,24,83.20833333333333
Tom Heaton,Premier League,2017-18,0.0,0.0,58.3,0.59,6.0,4,76.25
Andreas Christensen,Premier League,2017-18,76.0,4.0,93.1,0.74,62.0,27,77.25925925925925
Antonio Rüdiger,Premier League,2017-18,121.0,3.0,88.8,0.69,114.0,27,86.5925925925926
Callum Hudson-Odoi,Premier League,2017-18,2.0,0.0,66.7,6.21,2.0,2,14.5
Cesc Fàbregas,Premier League,2017-18,348.0,89.0,79.7,6.56,249.0,32,72.0625
Charly Musonda Jr.,Premier League,2017-18,1.0,1.0,83.3,2.43,2.0,3,12.333333333333334
César Azpilicueta,Premier League,2017-18,240.0,31.0,84.4,1.65,215.0,37,90.0
Danny Drinkwater,Premier League,2017-18,32.0,5.0,85.1,2.22,39.0,12,43.916666666666664
David Luiz,Premier League,2017-18,31.0,1.0,84.8,0.75,37.0,10,84.0
Davide Zappacosta,Premier League,2017-18,22.0,13.0,77.9,2.05,11.0,22,49.90909090909091
Eden Hazard,Premier League,2017-18,218.0,83.0,81.1,7.61,122.0,34,71.23529411764706
Emerson Palmieri,Premier League,2017-18,5.0,1.0,75.6,0.64,2.0,5,56.0
Ethan Ampadu,Premier League,2017-18,1.0,0.0,100.0,0.0,1.0,1,11.0
Gary Cahill,Premier League,2017-18,69.0,3.0,88.6,0.3,71.0,27,77.25925925925925
Jeremie Boga,Premier League,2017-18,0.0,0.0,100.0,0.0,0.0,1,17.0
Marcos Alonso,Premier League,2017-18,103.0,34.0,77.5,2.55,55.0,33,86.51515151515152
Michy Batshuayi,Premier League,2017-18,8.0,1.0,69.1,2.25,2.0,12,30.0
N'Golo Kanté,Premier League,2017-18,274.0,40.0,88.5,2.86,195.0,34,88.05882352941177
Olivier Giroud,Premier League,2017-18,21.0,13.0,64.6,3.08,8.0,13,47.15384615384615
Pedro,Premier League,2017-18,56.0,26.0,78.7,3.84,32.0,31,49.12903225806452
Ross Barkley,Premier League,2017-18,4.0,2.0,73.6,2.79,0.0,2,64.5
Thibaut Courtois,Premier League,2017-18,0.0,0.0,75.1,0.11,14.0,35,90.0
Tiemoué Bakayoko,Premier League,2017-18,123.0,16.0,85.8,1.91,88.0,29,73.3103448275862
Victor Moses,Premier League,2017-18,66.0,20.0,72.6,2.09,26.0,28,75.35714285714286
Willian,Premier League,2017-18,131.0,61.0,74.0,6.29,54.0,36,52.5
Willy Caballero,Premier League,2017-18,0.0,0.0,73.0,0.0,0.0,3,90.0
Álvaro Morata,Premier League,2017-18,46.0,35.0,70.5,3.63,30.0,31,66.48387096774194
Aaron Wan-Bissaka,Premier League,2017-18,23.0,3.0,66.9,1.15,12.0,7,89.57142857142857
Alexander Sørloth,Premier League,2017-18,7.0,6.0,57.0,3.5,6.0,4,90.0
Andros Townsend,Premier League,2017-18,104.0,65.0,71.0,3.98,64.0,36,86.66666666666667
Bakary Sako,Premier League,2017-18,8.0,6.0,59.1,3.39,6.0,16,29.875
Christian Benteke,Premier League,2017-18,42.0,28.0,56.1,2.73,35.0,31,72.25806451612904
Damien Delaney,Premier League,2017-18,0.0,0.0,78.9,0.0,1.0,2,48.0
Freddie Ladapo,Premier League,2017-18,0.0,0.0,55.6,0.0,0.0,1,17.0
James McArthur,Premier League,2017-18,107.0,21.0,78.1,1.96,90.0,33,73.66666666666667
James Tomkins,Premier League,2017-18,45.0,1.0,81.5,0.26,39.0,28,85.25
Jason Puncheon,Premier League,2017-18,31.0,5.0,79.3,2.84,18.0,10,57.1
Jaïro Riedewald,Premier League,2017-18,16.0,0.0,79.2,0.61,16.0,12,36.833333333333336
Jeffrey Schlupp,Premier League,2017-18,74.0,12.0,72.7,1.81,61.0,24,72.70833333333333
Joel Ward,Premier League,2017-18,79.0,8.0,72.3,1.17,58.0,19,84.89473684210526
Julián Speroni,Premier League,2017-18,0.0,0.0,47.4,0.0,12.0,11,90.0
Lee Chung-yong,Premier League,2017-18,2.0,2.0,75.3,3.33,1.0,7,19.285714285714285
Levi Lumeka,Premier League,2017-18,0.0,0.0,45.5,0.0,1.0,1,26.0
Luka Milivojević,Premier League,2017-18,180.0,21.0,79.0,1.69,173.0,36,85.55555555555556
Mamadou Sakho,Premier League,2017-18,43.0,2.0,84.9,0.28,22.0,19,84.21052631578948
Martin Kelly,Premier League,2017-18,16.0,2.0,72.1,0.3,19.0,15,79.66666666666667
Pape Souaré,Premier League,2017-18,0.0,0.0,81.8,0.0,1.0,1,9.0
Patrick van Aanholt,Premier League,2017-18,92.0,18.0,75.2,1.9,63.0,28,78.0
Ruben Loftus-Cheek,Premier League,2017-18,106.0,25.0,80.9,3.51,64.0,24,78.08333333333333
Scott Dann,Premier League,2017-18,42.0,5.0,79.1,0.82,30.0,17,84.41176470588235
Sullay Kaikai,Premier League,2017-18,1.0,0.0,50.0,0.0,0.0,1,14.0
Timothy Fosu-Mensah,Premier League,2017-18,56.0,6.0,71.8,1.07,53.0,21,76.0
Wayne Hennessey,Premier League,2017-18,0.0,1.0,52.0,0.19,27.0,27,90.0
Wilfried Zaha,Premier League,2017-18,96.0,52.0,69.4,4.91,41.0,29,87.89655172413794
Yohan Cabaye,Premier League,2017-18,138.0,42.0,77.7,3.18,124.0,31,76.64516129032258
Aaron Lennon,Premier League,2017-18,19.0,4.0,66.7,1.59,6.0,15,52.86666666666667
Ademola Lookman,Premier League,2017-18,6.0,2.0,80.9,1.13,2.0,7,22.714285714285715
Ashley Williams,Premier League,2017-18,39.0,3.0,80.3,0.39,31.0,24,76.41666666666667
Beni Baningime,Premier League,2017-18,11.0,0.0,81.7,1.36,6.0,8,24.75
Cenk Tosun,Premier League,2017-18,9.0,15.0,68.8,2.37,7.0,14,70.42857142857143
Cuco Martina,Premier League,2017-18,68.0,13.0,76.2,1.38,50.0,21,87.14285714285714
Davy Klaassen,Premier League,2017-18,11.0,2.0,77.7,1.43,5.0,7,35.857142857142854
Dominic Calvert-Lewin,Premier League,2017-18,27.0,20.0,59.9,2.15,13.0,32,58.8125
Eliaquim Mangala,Premier League,2017-18,7.0,0.0,83.3,0.67,4.0,2,67.0
Gylfi Sigurðsson,Premier League,2017-18,77.0,38.0,65.3,3.11,58.0,27,83.66666666666667
Idrissa Gana Gueye,Premier League,2017-18,128.0,16.0,84.0,1.6,152.0,33,83.33333333333333
James McCarthy,Premier League,2017-18,12.0,1.0,72.3,0.88,7.0,4,51.25
Jonjoe Kenny,Premier League,2017-18,48.0,10.0,67.8,1.08,54.0,19,83.6842105263158
Jordan Pickford,Premier League,2017-18,0.0,3.0,50.7,0.16,54.0,38,90.0
Kevin Mirallas,Premier League,2017-18,3.0,1.0,74.6,2.59,3.0,5,27.6
Leighton Baines,Premier League,2017-18,84.0,24.0,76.7,2.17,71.0,22,86.77272727272727
Mason Holgate,Premier League,2017-18,44.0,7.0,66.5,1.22,42.0,15,78.93333333333334
Michael Keane,Premier League,2017-18,83.0,4.0,77.4,0.53,76.0,30,85.33333333333333
Morgan Schneiderlin,Premier League,2017-18,106.0,7.0,83.2,0.89,104.0,30,71.0
Muhamed Bešić,Premier League,2017-18,2.0,1.0,96.4,3.91,1.0,2,23.0
Nikola Vlašić,Premier League,2017-18,16.0,11.0,72.0,3.59,5.0,12,48.0
Oumar Niasse,Premier League,2017-18,17.0,11.0,61.0,2.98,9.0,22,49.40909090909091
Phil Jagielka,Premier League,2017-18,53.0,1.0,75.0,0.44,62.0,25,82.6
Ramiro Funes Mori,Premier League,2017-18,2.0,0.0,78.2,0.0,4.0,4,30.25
Sandro Ramírez,Premier League,2017-18,8.0,1.0,73.3,1.94,1.0,8,34.75
Séamus Coleman,Premier League,2017-18,44.0,7.0,71.5,1.48,30.0,12,86.25
Theo Walcott,Premier League,2017-18,33.0,14.0,69.3,2.89,17.0,14,82.28571428571429
Tom Davies,Premier League,2017-18,62.0,10.0,76.5,1.61,45.0,33,57.57575757575758
Wayne Rooney,Premier League,2017-18,122.0,33.0,75.3,2.58,117.0,31,73.16129032258064
Yannick Bolasie,Premier League,2017-18,20.0,4.0,53.2,1.27,8.0,16,53.1875
Aaron Mooy,Premier League,2017-18,239.0,50.0,74.0,2.61,203.0,36,85.19444444444444
Abdelhamid Sabiri,Premier League,2017-18,13.0,3.0,66.0,3.27,9.0,5,44.0
Alex Pritchard,Premier League,2017-18,44.0,20.0,65.9,3.43,26.0,14,71.28571428571429
Chris Löwe,Premier League,2017-18,55.0,5.0,69.2,1.13,46.0,23,69.04347826086956
Christopher Schindler,Premier League,2017-18,80.0,9.0,80.9,0.44,54.0,37,88.24324324324324
