rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season,Current Age
673,Jules Koundé,FRA,DF,Barcelona,ESP-La Liga,25.0,1998.0,32,2605,2,3,5,2,0,1.8,1.8,44.0,165.0,0.07,0.1,63.0,43.0,66.7,5.0,30.0,20.0,68.0,2.0,0,0.0,0,0.0,0,0.0,0.0,1856.0,2140.0,86.7,8279.0,92.7,87.5,60.8,32.0,154.0,29.0,79.0,50.0,44.0,27.0,44.0,42.0,7.0,41.0,2,18.0,33.3,0.62,0.11,0.33,56.6,2.04,0.24,0,2024-25,28.0
674,Lamine Yamal,ESP,FW,Barcelona,ESP-La Liga,17.0,2007.0,35,2856,9,13,22,9,0,9.8,9.8,181.0,160.0,0.28,0.41,42.0,28.0,42.1,0.0,12.0,16.0,3.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1161.0,1553.0,74.8,4559.0,86.2,73.0,44.8,64.0,78.0,95.0,9.0,316.0,50.9,128.0,181.0,96.0,95.0,102.0,9,144.0,31.9,4.54,0.06,0.2,25.0,5.92,0.91,0,2024-25,19.0
675,Marc Bernal,ESP,MF,Barcelona,ESP-La Liga,17.0,2007.0,3,242,0,0,0,0,0,0.1,0.1,0.0,8.0,0.0,0.0,8.0,6.0,87.5,1.0,4.0,1.0,4.0,0.0,0,0.0,0,0.0,0,0.0,0.0,148.0,160.0,92.5,623.0,93.0,93.5,90.9,1.0,12.0,0.0,4.0,3.0,66.7,1.0,0.0,2.0,0.0,2.0,0,2.0,50.0,0.74,0.0,0.0,14.3,0.37,0.0,0,2024-25,19.0
676,Marc Casado,ESP,MF,Barcelona,ESP-La Liga,20.0,2003.0,23,1611,1,3,4,1,0,1.1,1.1,12.0,107.0,0.06,0.17,44.0,25.0,48.8,5.0,15.0,22.0,22.0,1.0,0,0.0,0,0.0,0,0.0,0.0,1221.0,1367.0,89.3,4279.0,92.6,94.4,66.0,9.0,138.0,6.0,25.0,9.0,44.4,4.0,12.0,22.0,0.0,17.0,1,14.0,7.1,0.78,0.07,1.0,25.8,2.51,0.34,0,2024-25,23.0
677,Marc-André ter Stegen,GER,GK,Barcelona,ESP-La Liga,32.0,1992.0,8,674,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0.0,0,0.0,0,0.0,0.0,233.0,251.0,92.8,4091.0,100.0,98.7,77.8,0.0,1.0,1.0,186.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,,100.0,0.13,0.0,0,2024-25,34.0
678,Pablo Torre,ESP,"MF,FW",Barcelona,ESP-La Liga,21.0,2003.0,10,310,3,1,4,3,0,0.4,0.4,5.0,17.0,0.87,0.29,5.0,4.0,50.0,0.0,0.0,3.0,5.0,1.0,0,0.0,0,0.0,0,0.0,0.0,180.0,220.0,81.8,678.0,88.9,89.0,52.4,8.0,13.0,4.0,5.0,6.0,33.3,3.0,5.0,7.0,0.0,5.0,3,6.0,66.7,1.74,0.5,0.75,14.3,5.24,0.87,0,2024-25,23.0
679,Pau Cubarsí,ESP,DF,Barcelona,ESP-La Liga,17.0,2007.0,35,2618,0,3,3,0,0,0.8,0.8,26.0,191.0,0.0,0.1,34.0,23.0,63.3,9.0,3.0,16.0,86.0,1.0,0,0.0,0,0.0,0,0.0,0.0,2434.0,2604.0,93.5,16006.0,95.3,96.5,77.7,9.0,210.0,4.0,194.0,8.0,75.0,2.0,26.0,16.0,0.0,7.0,0,8.0,0.0,0.28,0.0,,58.5,1.2,0.21,0,2024-25,19.0
680,Pau Victor,ESP,FW,Barcelona,ESP-La Liga,22.0,2001.0,21,319,2,1,3,2,0,3.0,3.0,6.0,11.0,0.56,0.28,3.0,1.0,0.0,1.0,5.0,2.0,5.0,0.0,0,0.0,0,0.0,0,0.0,0.0,98.0,121.0,81.0,221.0,90.0,78.7,80.0,8.0,5.0,4.0,5.0,12.0,58.3,5.0,6.0,2.0,6.0,7.0,2,14.0,57.1,3.95,0.14,0.25,75.0,3.64,0.56,0,2024-25,25.0
681,Pedri,ESP,MF,Barcelona,ESP-La Liga,21.0,2002.0,37,2879,4,5,9,4,0,2.2,2.2,92.0,360.0,0.13,0.16,61.0,34.0,34.3,3.0,42.0,26.0,21.0,1.0,0,0.0,0,0.0,0,0.0,0.0,2404.0,2749.0,87.4,10163.0,94.0,89.2,72.1,70.0,331.0,79.0,37.0,61.0,65.6,20.0,92.0,103.0,8.0,48.0,4,25.0,44.0,0.78,0.16,0.36,53.8,5.16,0.53,0,2024-25,24.0
682,Raphinha,BRA,"FW,MF",Barcelona,ESP-La Liga,27.0,1996.0,36,2839,18,9,27,16,2,19.2,17.6,94.0,135.0,0.57,0.29,36.0,22.0,48.7,2.0,27.0,11.0,26.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1064.0,1497.0,71.1,4933.0,84.3,75.5,45.4,91.0,87.0,67.0,31.0,103.0,50.5,44.0,94.0,66.0,46.0,53.0,18,112.0,35.7,3.55,0.14,0.4,60.0,5.17,0.7,0,2024-25,30.0
683,Robert Lewandowski,POL,FW,Barcelona,ESP-La Liga,35.0,1988.0,34,2667,27,2,29,24,3,27.1,24.0,27.0,48.0,0.91,0.07,10.0,5.0,45.5,2.0,12.0,3.0,26.0,0.0,0,0.0,0,0.0,0,0.0,0.0,383.0,522.0,73.4,900.0,82.2,76.5,48.1,19.0,31.0,9.0,32.0,35.0,57.1,13.0,27.0,11.0,16.0,75.0,27,111.0,40.5,3.75,0.22,0.53,48.7,1.69,0.1,0,2024-25,38.0
684,Ronald Araújo,URU,DF,Barcelona,ESP-La Liga,25.0,1999.0,12,754,1,1,2,1,0,1.0,1.0,6.0,49.0,0.12,0.12,12.0,9.0,80.0,4.0,2.0,9.0,25.0,0.0,0,0.0,0,0.0,0,0.0,0.0,666.0,725.0,91.9,3957.0,93.2,95.6,71.4,4.0,51.0,3.0,33.0,1.0,0.0,1.0,6.0,4.0,0.0,2.0,1,4.0,50.0,0.48,0.25,0.5,62.3,1.43,0.24,0,2024-25,27.0
685,Sergi Dominguez,ESP,DF,Barcelona,ESP-La Liga,19.0,2005.0,3,172,0,0,0,0,0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0,,0.0,0.0,3.0,7.0,0.0,0,0.0,0,0.0,0,0.0,0.0,171.0,180.0,95.0,1062.0,100.0,94.6,70.0,0.0,13.0,0.0,13.0,0.0,,0.0,0.0,1.0,0.0,0.0,0,0.0,,0.0,,,25.0,0.0,0.0,0,2024-25,21.0
686,Wojciech Szczęsny,POL,GK,Barcelona,ESP-La Liga,34.0,1990.0,15,1350,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,20.0,1.0,0,0.0,0,0.0,0,0.0,0.0,402.0,454.0,88.5,5717.0,100.0,98.8,59.1,0.0,1.0,0.0,370.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,,,,0.0,0.0,0,2024-25,36.0
687,Abde Ezzalzouli,MAR,"FW,MF",Betis,ESP-La Liga,22.0,2001.0,32,1984,2,2,4,2,0,8.0,7.2,117.0,68.0,0.09,0.09,37.0,25.0,55.6,3.0,19.0,7.0,19.0,0.0,0,0.0,0,0.0,0,0.0,0.0,542.0,757.0,71.6,1928.0,82.2,68.6,29.7,27.0,42.0,19.0,10.0,103.0,44.7,37.0,117.0,75.0,58.0,64.0,2,61.0,41.0,2.77,0.03,0.08,41.3,2.99,0.32,0,2024-25,25.0
