league,season,team,player,nation,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Premier League,2020-21,Crystal Palace,James McArthur,SCO,32,1987,18,17,1466,16.3,0,2,2,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12
Premier League,2020-21,Crystal Palace,James McCarthy,IRL,29,1990,16,10,821,9.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Crystal Palace,Jaïro Riedewald,NED,23,1996,33,19,1820,20.2,2,0,2,2,0,0,4,0,0.1,0.0,0.1,0.1,0.1
Premier League,2020-21,Crystal Palace,Jeffrey Schlupp,GHA,27,1992,27,15,1428,15.9,2,3,5,2,0,0,3,0,0.13,0.19,0.32,0.13,0.32
Premier League,2020-21,Crystal Palace,Jordan Ayew,GHA,28,1991,33,23,2096,23.3,1,3,4,1,0,0,4,0,0.04,0.13,0.17,0.04,0.17
Premier League,2020-21,Crystal Palace,Luka Milivojević,SRB,29,1991,31,27,2359,26.2,1,1,2,0,1,2,8,1,0.04,0.04,0.08,0.0,0.04
Premier League,2020-21,Crystal Palace,Martin Kelly,ENG,30,1990,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Everton,Abdoulaye Doucouré,MLI,27,1993,29,29,2443,27.1,2,3,5,2,0,0,6,0,0.07,0.11,0.18,0.07,0.18
Premier League,2020-21,Everton,Alex Iwobi,NGA,24,1996,30,17,1542,17.1,1,2,3,1,0,0,0,0,0.06,0.12,0.18,0.06,0.18
Premier League,2020-21,Everton,Allan,BRA,29,1991,24,23,2051,22.8,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Everton,André Gomes,POR,27,1993,28,17,1570,17.4,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06
Premier League,2020-21,Everton,Anthony Gordon,ENG,19,2001,3,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Everton,Bernard,BRA,27,1992,12,3,455,5.1,1,0,1,1,0,0,2,0,0.2,0.0,0.2,0.2,0.2
Premier League,2020-21,Everton,Cenk Tosun,TUR,29,1991,5,0,48,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Everton,Fabian Delph,ENG,30,1989,8,2,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Everton,Gylfi Sigurðsson,ISL,30,1989,36,24,2253,25.0,6,5,11,3,3,4,2,0,0.24,0.2,0.44,0.12,0.32
Premier League,2020-21,Everton,James Rodríguez,COL,29,1991,23,21,1764,19.6,6,4,10,6,0,0,4,0,0.31,0.2,0.51,0.31,0.51
Premier League,2020-21,Everton,Jean-Philippe Gbamin,CIV,24,1995,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2020-21,Everton,Joshua King,NOR,28,1992,11,0,148,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
