player,league,season,xg,np_xg,xa,key_passes,xg_chain,xg_buildup
Filip Krovinovic,Premier League,2020-21,0.21568202134221792,0.21568202134221792,0.17187480255961418,5,0.6958096958696842,0.47745469957590103
Grady Diangana,Premier League,2020-21,1.0978216975927353,1.0978216975927353,0.16204879991710186,5,1.629269490018487,0.6211163979023695
Hal Robson-Kanu,Premier League,2020-21,1.4960819277912378,1.4960819277912378,0.24344989843666553,5,2.264204764738679,0.6344088893383741
Jake Livermore,Premier League,2020-21,0.28153689950704575,0.28153689950704575,0.17572339996695518,5,2.1714072339236736,1.860429123044014
Kamil Grosicki,Premier League,2020-21,0.10924900323152542,0.10924900323152542,0.5663559958338737,3,0.16501349955797195,0.017962099984288216
Karlan Grant,Premier League,2020-21,1.6942400857806206,1.6942400857806206,0.14918609336018562,2,1.8100058129057288,0.5052713081240654
Kieran Gibbs,Premier League,2020-21,0.06194189935922623,0.06194189935922623,0.40620600432157516,4,0.8934742975980043,0.812916399911046
Kyle Bartley,Premier League,2020-21,2.601399853825569,2.601399853825569,0.7599643841385841,7,2.4846501778811216,1.4993403069674969
Kyle Edwards,Premier League,2020-21,0.11881580203771591,0.11881580203771591,0.02137880027294159,1,0.19228219985961914,0.05208750069141388
Lee Peltier,Premier League,2020-21,0.0,0.0,0.02232169918715954,1,0.17831569723784924,0.1559939980506897
Matheus Pereira,Premier League,2020-21,6.948313331231475,3.9036400113254786,6.355541097000241,58,10.85705378651619,3.7579240780323744
Matt Phillips,Premier League,2020-21,2.9235164280980825,2.9235164280980825,3.245670160278678,25,7.040547264739871,2.6132324263453484
Mbaye Diagne,Premier League,2020-21,6.247825607657433,6.247825607657433,0.986100921407342,10,8.729952983558178,1.7730097901076078
Okay Yokuslu,Premier League,2020-21,0.7194964047521353,0.7194964047521353,0.4425208047032356,6,2.787972727790475,2.3611941933631897
Rekeem Harper,Premier League,2020-21,0.029595399275422096,0.029595399275422096,0.0,0,0.03821149840950966,0.008616110309958458
Robert Snodgrass,Premier League,2020-21,0.20636729523539543,0.20636729523539543,0.540032409131527,3,0.8308931086212397,0.16630879789590836
