player_id,player,team,league,season,age,nationality,minutes,goals_per90,assists_per90,ga_nopk_per90,shots,shots_on_target,goals_per_shot,tackles,interceptions,fouls_drawn,crosses_per90,progressive_passes_per90,key_passes_per90,pass_completion_pct,sca_per90,passes_final_third_total,xa_per90,np_xg_per90,xg_chain,xg_buildup,cluster,pc1,pc2,similarity_to_kroos
Adrien Lebeau_2019-20,Adrien Lebeau,Strasbourg,Ligue 1,2019-20,20,FRA,13,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Adrien Rabiot_2019-20,Adrien Rabiot,Juventus,Serie A,2019-20,24,FRA,1912,0.05,0.05,0.09,0.94,0.33,0.05,1.5094,1.5094,1.3208,0.9434,0.1463,0.0235,88.6,2.49,79.0,0.0773,0.0752,9.149917293339968,6.953805681318045,1.0,-2.0568,0.2984,0.6359
Adrien Silva_2019-20,Adrien Silva,Monaco,Ligue 1,2019-20,30,POR,1221,0.0,0.15,0.15,1.03,0.22,0.0,1.6912,0.8824,1.6176,1.4706,0.3082,0.0503,85.5,2.73,74.0,0.1613,0.0418,4.763366696424782,4.412163672968745,0.0,-1.0823,2.3783,0.8061
Adrien Tameze_2019-20,Adrien Tameze,Nice,Ligue 1,2019-20,25,CMR,519,0.17,0.0,0.17,0.87,0.17,0.2,0.5172,1.2069,1.0345,0.6897,0.4335,0.1517,84.8,1.73,14.0,0.1119,0.1455,2.384948894381523,1.4675532057881355,,,,
Adrien Tameze_2019-20,Adrien Tameze,Atalanta,Serie A,2019-20,25,CMR,211,0.0,0.0,0.0,0.0,0.0,0.0,1.3043,1.3043,0.8696,0.4348,0.8531,0.1828,89.8,4.27,13.0,0.0778,0.0,2.0237930938601494,1.844889096915722,,,,
Adrien Thomasson_2019-20,Adrien Thomasson,Strasbourg,Ligue 1,2019-20,25,FRA,2072,0.35,0.04,0.39,2.13,0.78,0.16,1.0,0.3913,1.6522,2.5652,0.1651,0.0695,76.0,3.69,70.0,0.1446,0.2164,12.835240622982385,5.112055969424546,2.0,1.8509,-0.1905,0.6538
Adrià Pedrosa_2019-20,Adrià Pedrosa,Espanyol,La Liga,2019-20,21,ESP,1087,0.08,0.0,0.08,0.99,0.41,0.08,1.0744,1.0744,1.4876,2.4793,0.1035,0.0166,73.9,2.32,16.0,0.0172,0.1135,3.31086646579206,1.860714903101325,1.0,-1.3029,-1.5301,0.5567
Adrián López_2019-20,Adrián López,Osasuna,La Liga,2019-20,31,ESP,1443,0.12,0.0,0.06,1.12,0.5,0.06,0.25,0.3125,0.375,0.875,0.1199,0.0624,69.3,3.24,31.0,0.0,0.0,0.0,0.0,2.0,0.0505,-1.3584,0.5469
Adrián Ramos_2019-20,Adrián Ramos,Granada,La Liga,2019-20,33,COL,226,0.0,0.0,0.0,2.39,0.4,0.0,0.8,0.4,2.4,1.2,0.6827,0.1138,63.0,2.39,12.0,0.2547,0.1164,0.3418402969837188,0.0249119997024536,,,,
Ahmad Ngouyamsa_2019-20,Ahmad Ngouyamsa,Dijon,Ligue 1,2019-20,18,CHA,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6667,0.0,0.0,0.0,0.0,62.5,1.64,0.0,0.0,0.0,0.0,0.0,,,,
Aimar Oroz_2019-20,Aimar Oroz,Osasuna,La Liga,2019-20,17,ESP,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Aitor Ruibal_2019-20,Aitor Ruibal,Leganés,La Liga,2019-20,23,ESP,1220,0.0,0.0,0.0,1.18,0.22,0.0,1.1765,0.5882,0.9559,2.2059,0.1062,0.0354,72.7,2.65,24.0,0.139,0.0518,3.460527364164591,1.504365125671029,1.0,-0.6818,-0.8846,0.6018
Akaki Gogia_2019-20,Akaki Gogia,Union Berlin,Bundesliga,2019-20,27,GER,121,0.0,0.0,0.0,0.74,0.0,0.0,0.7692,0.7692,2.3077,1.5385,1.2397,0.9917,64.6,5.95,1.0,0.2374,0.0142,0.3086829856038093,0.0,,,,
Alaixys Romao_2019-20,Alaixys Romao,Reims,Ligue 1,2019-20,35,TOG,1781,0.0,0.0,0.0,0.61,0.1,0.0,1.5152,1.2626,3.0808,0.2525,0.2343,0.0276,82.6,2.12,74.0,0.0,0.0,0.0,0.0,1.0,-2.7277,0.501,0.6326
Alassane Pléa_2019-20,Alassane Pléa,Gladbach,Bundesliga,2019-20,26,FRA,2143,0.42,0.42,0.84,3.23,1.51,0.13,0.3361,0.3782,1.4706,2.0588,0.1089,0.0607,71.1,3.7,36.0,0.3538,0.5017,19.66848337650299,4.572907918132842,3.0,5.9161,-0.0811,0.4621
Albert Lottin_2019-20,Albert Lottin,Bordeaux,Ligue 1,2019-20,17,FRA,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,95.5,0.0,2.0,0.0,0.0,0.0,0.0,,,,
Alberto Grassi_2019-20,Alberto Grassi,Parma,Serie A,2019-20,24,ITA,641,0.14,0.14,0.28,1.12,0.28,0.13,0.7042,2.6761,1.2676,1.1268,0.1931,0.0439,85.7,1.54,18.0,0.0346,0.0417,0.7254285980015993,0.4114933088421821,,,,
Albin Ekdal_2019-20,Albin Ekdal,Sampdoria,Serie A,2019-20,30,SWE,2385,0.0,0.08,0.08,0.6,0.08,0.0,1.0943,1.1698,2.1132,0.3396,0.1616,0.0271,85.1,2.38,113.0,0.0541,0.0477,6.251870095729828,4.474948652088642,1.0,-1.8426,0.1731,0.6536
Aleix Febas_2019-20,Aleix Febas,Mallorca,La Liga,2019-20,23,ESP,1690,0.0,0.16,0.16,0.43,0.21,0.0,1.4362,0.9574,2.5532,0.1064,0.1359,0.0404,84.4,2.61,39.0,0.0841,0.02,5.005257997661829,3.2857670728117228,1.0,-1.5525,0.5841,0.6656
Aleix Vidal_2019-20,Aleix Vidal,Alavés,La Liga,2019-20,29,ESP,2165,0.08,0.17,0.25,0.96,0.42,0.09,0.6224,0.9129,1.9502,4.4813,0.1204,0.0616,72.1,3.28,52.0,0.1714,0.1227,8.466758790891618,2.684944676235318,2.0,0.7245,-0.0147,0.6544
